GeneID	SB1	SB2	CB1	CB2	G1	G2	GBE1	GBE2	DC1	DC2
MDOA015531	4	7	6	3	5	3	8	3	6	4
MDOA010320	3	2	7	7	2	3	8	13	8	5
MDOA004903	2	10	4	7	8	2	16	3	2	9
MDOA013122	5	2	4	10	7	6	11	4	9	16
MDOA008727	11	11	3	13	2	8	4	3	15	9
MDOA000699	5	19	5	13	8	4	17	4	13	5
MDOA010544	2	4	14	3	10	6	17	2	33	6
MDOA007017	2	2	15	4	16	14	25	7	19	14
MDOA004047	21	29	7	29	7	3	11	2	9	3
MDOA013646	5	13	12	10	11	6	23	19	4	22
MDOA001249	3	13	3	13	12	27	10	27	8	13
MDOA007531	10	13	16	3	16	6	37	7	19	3
MDOA013091	6	7	5	10	3	10	13	9	46	30
MDOA008420	3	20	16	25	7	13	24	18	10	6
MDOA001580	3	4	9	12	11	14	30	34	15	19
MDOA008511	4	8	8	5	15	14	25	10	58	4
MDOA002879	6	9	25	32	11	19	9	5	35	8
MDOA003072	2	5	10	2	22	3	29	25	33	29
MDOA012531	3	21	20	11	19	12	41	10	18	8
MDOA015349	4	3	11	3	22	8	72	5	18	18
MDOA012285	45	22	30	6	17	11	10	14	4	10
MDOA013415	8	9	29	13	7	8	21	8	49	20
MDOA014464	3	2	28	3	34	14	33	8	41	8
MDOA005402	3	35	25	41	20	18	23	12	2	5
MDOA004346	3	11	25	6	3	2	4	45	42	49
MDOA014507	3	4	25	2	22	2	8	3	16	106
MDOA000686	12	16	4	5	14	17	85	14	10	15
MDOA001040	8	9	36	26	33	23	16	29	13	3
MDOA000677	7	48	24	51	12	4	3	3	45	3
MDOA011633	4	5	23	10	23	4	53	10	61	7
MDOA004443	18	24	47	11	18	3	7	6	44	23
MDOA012472	6	35	29	22	11	21	36	3	18	21
MDOA000435	6	4	16	7	12	7	19	20	74	38
MDOA002155	4	13	11	9	20	13	37	51	32	17
MDOA005714	3	11	5	4	12	5	38	10	72	47
MDOA001894	4	7	5	12	16	4	29	11	95	27
MDOA005504	13	39	76	7	10	13	21	3	13	15
MDOA008672	5	22	51	8	31	11	48	14	3	17
MDOA008576	3	3	83	4	53	5	50	6	6	7
MDOA009233	2	16	9	11	18	24	25	54	29	33
MDOA007398	56	13	14	7	39	8	34	5	42	6
MDOA007847	2	12	13	25	9	15	9	33	58	52
MDOA015569	4	12	19	11	42	19	36	32	47	6
MDOA015497	11	6	10	28	16	30	8	74	45	2
MDOA001504	3	9	24	4	55	26	65	16	14	15
MDOA003567	9	4	45	32	25	24	18	24	33	17
MDOA007748	2	10	19	22	25	40	30	26	46	14
MDOA012894	3	15	11	44	13	26	18	30	37	37
MDOA006428	3	68	27	51	2	23	6	20	15	22
MDOA014849	6	17	23	36	25	50	18	33	19	14
MDOA015296	7	12	15	27	8	28	20	4	51	69
MDOA014905	2	12	37	11	19	14	35	13	64	41
MDOA010004	6	42	19	8	10	2	7	3	104	50
MDOA013289	3	21	29	16	40	39	36	45	9	13
MDOA007736	2	6	6	19	42	19	65	21	47	25
MDOA000102	2	2	22	2	9	13	37	12	153	3
MDOA006216	4	27	28	22	17	6	15	14	74	49
MDOA015766	27	26	26	30	12	27	9	48	21	32
MDOA012321	4	10	17	2	57	14	36	17	67	36
MDOA001841	6	9	2	23	26	13	14	11	139	18
MDOA002805	7	48	13	55	26	32	40	5	34	4
MDOA004784	7	9	29	16	40	18	76	2	62	12
MDOA005328	3	10	59	19	38	18	81	19	16	8
MDOA015645	2	18	5	38	21	29	58	24	51	27
MDOA010599	6	71	11	38	54	27	23	21	15	9
MDOA014371	3	15	41	9	69	15	66	15	33	12
MDOA006427	2	2	18	2	28	27	93	6	68	33
MDOA010027	4	14	34	7	51	42	73	9	17	28
MDOA004737	4	21	73	8	68	15	37	39	16	5
MDOA014001	6	20	81	5	24	6	59	11	61	14
MDOA004677	2	52	25	28	22	14	47	27	52	19
MDOA010858	8	20	7	16	11	30	29	4	157	6
MDOA015698	62	5	49	12	47	15	62	4	21	20
MDOA000177	7	14	21	7	77	2	35	3	129	3
MDOA003435	6	20	95	8	38	28	4	34	55	10
MDOA004662	12	75	47	24	35	39	27	22	3	20
MDOA012248	2	27	27	44	13	21	26	62	6	82
MDOA005152	7	63	69	30	54	11	44	14	11	9
MDOA006178	3	5	18	15	72	36	76	39	16	34
MDOA013109	3	6	13	11	15	5	20	14	132	95
MDOA010474	21	33	21	28	19	6	23	11	119	34
MDOA008301	2	16	55	7	53	6	72	28	54	23
MDOA015714	7	30	46	44	24	33	52	18	46	16
MDOA006999	10	10	72	30	38	43	35	23	27	29
MDOA003610	2	6	3	3	13	7	42	93	127	23
MDOA006131	15	11	52	30	70	42	66	11	18	4
MDOA011749	88	134	8	26	3	3	6	3	26	25
MDOA015519	10	2	7	3	16	9	71	18	48	144
MDOA011683	4	4	20	8	12	8	18	13	96	149
MDOA014314	47	64	8	54	2	52	11	64	10	30
MDOA000079	2	23	39	32	42	57	31	62	40	17
MDOA009173	3	2	38	5	58	14	119	29	36	41
MDOA010774	4	3	97	21	49	51	30	8	60	22
MDOA005175	11	45	42	12	7	8	25	9	143	45
MDOA001869	28	45	59	36	68	7	85	10	5	5
MDOA015339	7	14	20	15	19	26	82	24	116	27
MDOA001870	20	94	14	30	29	15	21	67	29	32
MDOA013236	3	24	10	7	84	30	34	76	64	19
MDOA003604	2	5	12	18	32	66	68	105	31	15
MDOA014809	2	7	27	3	14	5	32	9	177	78
MDOA011280	10	72	14	79	4	24	8	64	38	46
MDOA008595	22	13	36	29	54	83	47	19	35	25
MDOA012734	4	33	27	15	6	5	16	11	190	58
MDOA003516	6	46	42	85	31	24	35	25	41	32
MDOA008716	4	20	33	7	35	10	91	32	86	60
MDOA010142	24	46	108	47	56	8	66	9	7	7
MDOA002654	5	59	14	33	74	36	91	26	40	9
MDOA008217	3	11	13	8	64	16	107	59	44	64
MDOA002963	2	8	51	28	73	34	125	34	28	8
MDOA013375	2	22	63	27	59	40	126	14	28	13
MDOA007719	11	43	27	17	58	37	81	74	42	13
MDOA010819	2	4	34	5	42	24	27	110	93	65
MDOA000191	2	79	10	65	3	66	3	95	34	55
MDOA006901	2	12	25	53	84	30	121	35	33	19
MDOA007610	5	24	34	4	47	37	83	34	137	13
MDOA003780	3	10	6	37	36	25	22	16	131	140
MDOA006919	2	7	8	7	47	60	38	52	180	25
MDOA015048	9	7	43	8	83	14	123	61	61	17
MDOA007501	3	4	56	24	21	41	119	52	70	40
MDOA015205	31	54	7	50	2	6	6	6	67	206
MDOA006674	6	19	82	42	24	51	48	78	36	53
MDOA012123	6	13	31	9	15	20	26	24	247	48
MDOA013336	17	8	23	5	22	6	31	69	108	150
MDOA014115	11	62	5	70	18	40	29	63	82	61
MDOA013220	5	54	31	28	36	34	25	61	88	81
MDOA015364	4	46	15	2	54	15	90	6	181	30
MDOA009490	17	12	21	8	88	11	154	31	84	22
MDOA010154	21	82	72	23	67	11	64	4	103	5
MDOA001584	2	5	36	12	88	26	162	65	46	12
MDOA006980	3	21	32	14	32	50	82	9	184	27
MDOA009831	2	35	25	85	25	72	25	79	41	65
MDOA001371	7	36	113	72	52	34	87	28	22	8
MDOA010106	3	10	35	26	80	25	98	85	90	9
MDOA006359	2	2	8	4	10	2	8	11	379	38
MDOA000114	3	41	64	36	104	45	72	38	51	13
MDOA001070	15	56	107	34	48	113	53	27	16	2
MDOA003247	17	15	72	17	81	30	110	9	88	32
MDOA005637	12	53	31	91	32	23	25	41	126	41
MDOA004233	5	18	69	26	63	15	74	71	81	54
MDOA000127	3	136	100	24	32	37	23	7	93	22
MDOA013319	36	25	56	30	44	18	90	45	56	81
MDOA008495	7	53	70	14	60	33	67	13	105	61
MDOA009155	5	5	71	7	18	9	17	6	333	12
MDOA015610	20	30	36	42	24	44	105	58	57	69
MDOA011305	7	34	15	36	11	35	17	61	127	148
MDOA006747	2	10	82	4	60	18	41	28	218	31
MDOA002016	39	29	55	28	81	27	52	17	132	37
MDOA009650	7	24	102	45	76	46	85	38	44	31
MDOA009603	3	104	7	8	39	193	58	75	10	8
MDOA011872	48	194	63	67	16	40	33	28	12	4
MDOA000894	5	5	7	6	127	140	44	105	58	10
MDOA011390	24	16	42	10	46	15	67	9	265	13
MDOA011827	42	73	67	59	10	8	25	22	129	75
MDOA007824	7	57	3	83	3	77	3	71	12	199
MDOA004997	6	30	103	44	107	15	120	50	32	14
MDOA015143	4	3	3	6	16	13	12	9	376	80
MDOA014764	9	101	81	110	24	36	35	71	14	42
MDOA010971	11	112	21	36	57	55	64	16	118	34
MDOA000878	42	144	15	6	31	86	49	76	45	32
MDOA013568	68	61	27	3	39	6	55	31	198	38
MDOA014675	45	30	91	56	37	26	32	36	151	23
MDOA014421	42	33	59	8	131	22	165	24	37	7
MDOA011622	12	15	139	12	80	21	104	33	63	50
MDOA015786	62	9	119	27	80	23	173	18	10	10
MDOA015693	6	10	11	49	57	63	122	43	122	54
MDOA001319	2	49	6	93	22	68	31	156	17	94
MDOA004568	3	4	44	12	66	63	150	81	78	39
MDOA008701	46	50	61	48	47	44	101	53	67	24
MDOA009540	2	2	16	5	18	15	58	60	172	196
MDOA004342	18	21	90	23	46	38	64	30	176	47
MDOA000577	25	41	23	52	72	33	62	22	197	27
MDOA011598	41	22	68	23	54	26	46	11	256	10
MDOA015663	22	3	137	9	90	16	112	13	140	17
MDOA006254	40	15	70	3	50	14	80	19	239	34
MDOA014971	4	8	11	19	37	22	46	68	271	78
MDOA011177	4	8	10	3	17	14	82	40	294	94
MDOA000816	15	191	9	118	22	37	32	29	108	7
MDOA001817	86	126	36	41	13	20	27	12	138	69
MDOA012296	15	17	96	7	121	37	150	22	96	7
MDOA005138	2	11	10	9	7	25	15	11	438	49
MDOA011032	8	37	126	27	45	27	17	4	241	46
MDOA009663	2	30	17	22	22	27	44	77	132	206
MDOA015722	18	19	78	28	108	37	239	11	34	8
MDOA014700	34	71	99	35	15	2	26	5	210	84
MDOA006120	4	89	14	8	7	29	11	61	183	178
MDOA005528	2	7	6	16	65	68	39	156	79	147
MDOA010158	7	22	109	40	60	54	69	28	139	57
MDOA011200	6	2	49	8	51	32	62	10	302	65
MDOA013166	8	5	14	9	133	49	259	30	58	22
MDOA001076	14	31	55	40	58	43	58	100	80	113
MDOA011078	29	105	108	37	71	38	110	26	68	8
MDOA000660	2	28	16	19	43	25	29	56	255	128
MDOA015595	39	12	192	19	132	16	139	15	35	7
MDOA008830	10	191	11	96	20	78	15	51	57	78
MDOA015330	5	60	121	83	88	83	67	38	24	39
MDOA007100	32	144	102	138	41	58	30	44	8	13
MDOA000417	23	81	168	145	25	41	38	24	33	35
MDOA010937	45	90	49	33	83	24	66	82	106	37
MDOA000242	47	25	88	17	130	23	217	46	22	6
MDOA001560	8	22	5	14	43	39	50	51	239	153
MDOA013807	14	119	25	93	33	122	42	117	24	38
MDOA009411	109	14	79	19	148	12	171	16	52	17
MDOA006222	23	17	95	2	82	43	131	19	224	3
MDOA011261	10	24	46	25	45	21	37	27	392	21
MDOA012454	2	68	50	77	7	43	7	6	358	31
MDOA002721	41	84	88	132	79	90	62	29	16	29
MDOA011371	64	64	101	45	75	34	151	61	36	19
MDOA005880	6	21	90	39	149	58	154	28	86	22
MDOA008518	2	61	78	99	53	55	60	113	56	76
MDOA001834	4	18	13	26	52	105	132	156	96	52
MDOA002148	8	73	5	135	7	25	14	80	88	228
MDOA012744	2	10	22	8	40	10	24	44	261	253
MDOA006148	3	67	17	235	29	52	19	110	49	99
MDOA010456	9	11	87	3	125	112	267	29	31	9
MDOA005491	30	40	12	6	16	4	63	83	421	10
MDOA000736	19	20	87	45	78	29	119	30	237	23
MDOA011230	8	48	110	12	49	18	43	27	210	162
MDOA008631	10	25	157	34	39	21	37	92	171	105
MDOA002235	46	300	70	122	23	67	52	7	3	4
MDOA006703	7	77	8	18	54	122	61	141	32	174
MDOA014907	127	55	51	25	61	21	40	15	231	68
MDOA013953	38	40	46	49	8	3	28	11	433	42
MDOA012314	2	71	70	139	35	114	28	110	55	78
MDOA006835	66	112	206	70	79	19	45	57	21	29
MDOA014863	74	155	138	81	71	50	76	26	15	18
MDOA004756	35	88	53	27	49	11	67	46	315	26
MDOA001178	22	76	63	79	109	80	70	105	54	61
MDOA001285	47	19	14	32	46	44	108	76	68	268
MDOA013752	6	26	53	10	165	52	241	74	57	39
MDOA009306	3	3	163	29	178	81	133	73	43	20
MDOA000249	100	90	74	70	40	52	92	22	140	49
MDOA006805	2	2	27	14	22	8	12	26	442	175
MDOA014621	59	144	192	117	24	24	50	34	60	28
MDOA008861	24	137	11	117	29	57	26	240	30	63
MDOA001563	52	107	77	42	98	107	72	113	48	19
MDOA001219	77	131	34	63	84	47	88	43	61	108
MDOA011055	59	74	201	36	140	40	118	26	33	9
MDOA008550	17	114	44	133	21	108	29	78	138	57
MDOA013058	15	23	43	39	108	44	111	28	259	78
MDOA001983	17	34	117	80	179	151	66	58	32	16
MDOA001326	14	42	3	20	3	10	4	40	211	404
MDOA010006	57	193	17	29	20	40	57	59	168	111
MDOA007359	11	32	48	25	24	29	31	16	491	47
MDOA000955	14	42	147	10	84	61	67	19	245	66
MDOA002771	29	32	30	37	38	127	90	201	64	109
MDOA007078	3	28	16	34	36	20	54	29	401	136
MDOA014041	67	202	132	65	77	41	92	12	64	9
MDOA014964	257	72	80	16	106	21	96	55	28	33
MDOA012887	10	64	166	50	124	41	82	8	189	37
MDOA007961	2	3	5	14	12	100	40	407	12	179
MDOA006447	4	8	8	15	10	4	13	58	552	104
MDOA013570	14	24	179	12	295	33	103	39	65	14
MDOA010538	156	9	75	8	57	4	94	16	332	29
MDOA002072	6	3	63	38	184	107	207	58	112	7
MDOA006182	15	31	106	99	91	106	136	66	100	37
MDOA006068	14	78	84	73	84	38	62	12	330	13
MDOA015187	58	27	205	27	166	36	189	14	50	22
MDOA001291	6	65	18	266	21	62	21	164	31	141
MDOA001918	5	25	89	25	113	60	203	61	174	43
MDOA007708	11	30	66	3	126	51	165	69	155	134
MDOA005669	2	3	21	10	241	28	276	45	116	73
MDOA009507	44	88	253	91	100	17	95	29	80	19
MDOA000730	13	21	66	29	47	43	41	70	326	166
MDOA011199	17	290	16	32	19	86	31	238	18	78
MDOA005911	25	29	44	66	158	6	405	18	36	44
MDOA009241	31	36	353	31	62	7	78	19	136	85
MDOA008710	6	18	93	15	212	54	129	48	203	63
MDOA005081	12	72	9	390	25	98	78	89	10	59
MDOA009007	2	7	5	10	24	15	23	31	677	49
MDOA014846	41	206	160	78	30	30	38	22	215	33
MDOA014798	45	45	171	36	133	28	118	20	231	27
MDOA011067	31	243	194	105	48	114	35	7	64	14
MDOA000291	3	100	89	49	90	26	73	56	241	129
MDOA001287	3	5	6	6	20	2	9	12	627	173
MDOA000450	4	17	2	12	12	10	12	7	365	424
MDOA003032	280	25	106	23	99	26	248	30	9	21
MDOA005793	46	89	91	108	59	88	46	119	57	171
MDOA014747	3	8	13	11	11	13	15	10	580	213
MDOA011093	50	44	141	92	165	72	116	130	37	31
MDOA002311	21	2	115	16	195	24	235	87	156	29
MDOA001742	53	31	161	35	182	8	149	21	231	13
MDOA010316	14	25	22	8	50	62	232	146	128	197
MDOA011240	45	230	87	126	83	42	82	33	141	15
MDOA000172	6	22	8	17	3	2	21	4	626	180
MDOA004165	22	76	73	61	74	56	79	88	154	212
MDOA007514	47	14	29	6	22	4	27	55	638	59
MDOA010980	41	59	45	235	28	79	33	28	259	95
MDOA013848	2	82	167	116	163	63	186	99	17	9
MDOA014411	34	58	155	96	130	70	118	59	130	54
MDOA012471	25	70	168	123	94	29	65	42	282	8
MDOA013003	51	145	93	175	102	78	77	120	13	52
MDOA015580	22	18	6	64	18	127	109	183	114	248
MDOA001421	34	73	105	52	58	37	213	189	23	131
MDOA010914	34	17	62	24	69	5	79	5	600	25
MDOA012252	117	60	192	136	99	73	134	58	12	43
MDOA003084	11	25	40	27	74	49	100	31	392	182
MDOA008444	8	21	15	10	14	11	27	12	273	542
MDOA001425	109	100	67	112	21	73	92	121	39	201
MDOA005366	7	94	78	127	42	156	47	86	169	133
MDOA008072	104	36	250	41	195	24	212	63	16	3
MDOA008034	307	29	162	72	122	22	68	36	114	13
MDOA011703	172	249	213	52	40	98	39	5	77	2
MDOA001294	10	4	35	5	11	3	39	77	378	387
MDOA005985	35	62	57	132	53	199	89	77	183	70
MDOA007591	34	79	149	20	191	92	256	77	47	12
MDOA014535	61	77	238	21	48	16	27	6	459	11
MDOA015031	51	105	281	88	22	10	61	59	221	68
MDOA007483	6	23	84	23	36	74	86	76	278	292
MDOA004366	20	31	23	12	15	11	26	122	523	197
MDOA014187	99	277	70	54	88	42	84	134	66	73
MDOA015638	21	48	153	77	111	72	375	68	38	25
MDOA004975	85	102	131	100	111	68	124	60	98	113
MDOA008638	34	48	20	2	36	8	47	5	682	110
MDOA001789	25	38	13	9	14	68	13	2	789	35
MDOA006064	4	4	16	7	27	21	82	70	572	205
MDOA009991	103	183	206	102	125	99	50	65	35	43
MDOA015399	104	138	367	146	150	12	60	11	15	8
MDOA008349	46	140	69	31	155	20	119	12	393	31
MDOA014840	5	47	31	26	29	16	21	9	661	172
MDOA003330	88	64	249	9	146	20	267	70	17	96
MDOA004312	66	229	174	146	47	82	88	46	55	93
MDOA007780	8	14	39	8	31	36	30	6	836	20
MDOA009827	20	54	44	160	23	38	22	55	402	214
MDOA001240	43	89	123	77	61	42	185	54	338	24
MDOA010372	58	86	185	148	129	202	95	81	42	10
MDOA000042	31	57	121	48	110	44	308	11	239	68
MDOA008304	83	452	34	167	24	80	47	52	38	60
MDOA000772	89	521	44	115	30	33	38	52	97	19
MDOA005156	29	178	77	133	42	59	91	110	118	210
MDOA014360	3	19	37	37	87	96	179	215	194	180
MDOA000485	36	88	68	42	70	73	48	47	354	223
MDOA006385	28	322	66	225	12	50	23	51	58	216
MDOA010047	2	86	80	147	78	128	148	186	90	112
MDOA011815	8	21	28	59	21	5	23	20	739	137
MDOA003445	36	103	127	58	228	87	245	108	35	38
MDOA015533	53	203	202	224	73	168	67	30	16	35
MDOA011834	2	2	16	7	131	117	279	171	180	169
MDOA002613	46	64	145	48	115	124	86	87	151	209
MDOA005631	60	126	136	89	140	66	157	29	266	6
MDOA005294	77	93	247	127	173	41	159	28	126	7
MDOA009171	26	25	60	30	107	61	151	79	446	94
MDOA011349	37	2	192	9	207	14	491	14	98	16
MDOA002010	34	65	151	17	197	53	380	62	87	49
MDOA003596	44	76	353	93	166	16	148	79	101	22
MDOA004589	314	102	102	55	111	27	190	36	109	53
MDOA013859	35	38	97	13	217	48	259	96	242	55
MDOA013383	42	57	158	48	109	15	90	22	513	47
MDOA011607	39	149	127	280	71	173	77	102	71	13
MDOA011716	5	2	2	3	35	3	15	17	916	105
MDOA012923	54	117	56	150	154	47	240	88	153	47
MDOA010925	2	5	15	17	55	65	79	65	690	114
MDOA011492	2	23	19	11	241	31	367	80	292	46
MDOA002344	72	137	173	173	130	65	98	164	53	52
MDOA000439	70	30	75	22	48	18	98	33	515	209
MDOA008369	14	4	43	11	253	72	539	39	123	22
MDOA000316	15	300	55	407	49	129	49	97	4	18
MDOA001962	130	105	113	65	137	11	88	149	219	106
MDOA008318	69	146	317	13	86	15	182	37	152	106
MDOA001014	35	107	157	129	235	116	147	113	54	32
MDOA008837	94	28	115	23	89	13	178	24	522	41
MDOA009000	5	86	180	77	182	143	163	128	73	92
MDOA003267	9	21	123	55	54	27	45	178	246	381
MDOA005550	39	143	375	117	154	98	117	45	42	9
MDOA013343	117	322	117	74	124	31	171	24	151	10
MDOA014953	46	65	142	48	173	24	296	159	142	47
MDOA002448	61	710	89	38	12	16	28	30	162	9
MDOA008319	34	209	71	120	47	28	43	80	352	185
MDOA010203	3	19	21	5	7	6	14	7	982	117
MDOA003644	2	4	12	9	76	38	157	200	406	287
MDOA007105	5	2	2	9	7	21	17	75	577	476
MDOA002288	50	83	63	92	123	18	159	41	517	47
MDOA009099	41	45	160	68	309	87	225	76	150	36
MDOA012938	142	301	162	79	79	23	98	25	249	39
MDOA013971	57	76	78	73	228	62	391	73	122	41
MDOA009833	125	269	156	38	122	26	140	19	299	8
MDOA012773	23	37	174	68	216	112	407	112	48	10
MDOA014563	47	192	24	48	15	15	9	17	734	107
MDOA012925	223	76	45	292	32	101	44	78	45	273
MDOA004488	9	125	91	159	33	152	85	93	328	135
MDOA009552	3	5	20	6	305	27	527	46	255	23
MDOA014276	63	27	99	12	95	6	99	9	798	9
MDOA015110	2	75	66	161	106	48	152	156	245	212
MDOA005298	69	175	34	30	70	20	156	22	564	91
MDOA010224	91	119	190	23	228	5	378	23	112	65
MDOA010185	113	230	237	55	97	47	94	64	233	65
MDOA005982	11	19	27	2	10	15	54	26	843	229
MDOA007325	15	118	248	104	256	92	199	78	98	32
MDOA013284	20	58	413	145	263	59	204	31	30	21
MDOA010785	63	108	287	45	159	31	128	80	268	76
MDOA013056	144	230	159	137	69	76	152	92	87	99
MDOA014212	7	35	19	51	39	40	55	17	988	8
MDOA004025	54	26	276	17	214	28	424	20	181	23
MDOA006371	6	4	15	3	53	37	188	65	790	102
MDOA009029	20	94	181	98	234	100	208	106	120	103
MDOA005961	77	96	40	159	10	127	18	220	35	483
MDOA004678	44	41	274	56	233	100	324	85	103	7
MDOA011118	3	253	78	256	24	121	12	55	146	322
MDOA014231	11	112	166	235	145	144	192	135	73	57
MDOA005226	4	45	167	100	256	226	290	102	50	32
MDOA009067	2	6	7	8	30	2	102	41	889	187
MDOA014220	97	253	251	173	51	91	63	41	205	60
MDOA006551	17	98	250	67	306	82	318	114	34	4
MDOA006979	54	2	206	65	78	4	130	6	581	169
MDOA010837	2	19	12	9	7	16	3	4	201	1025
MDOA012833	75	173	247	65	177	114	171	137	104	35
MDOA006856	171	286	192	123	90	30	112	20	255	22
MDOA001424	7	11	12	12	23	9	22	2	1172	36
MDOA009755	21	321	117	174	62	177	70	228	28	109
MDOA005513	9	171	62	300	49	226	59	210	62	161
MDOA008872	53	62	54	103	5	26	10	9	257	735
MDOA011840	4	551	201	315	25	115	40	28	22	13
MDOA003792	15	164	111	101	101	160	153	265	68	180
MDOA002074	58	110	265	184	183	186	207	82	41	6
MDOA010303	33	28	43	26	15	7	19	53	855	253
MDOA009188	23	121	189	95	140	95	196	173	151	150
MDOA001696	90	66	162	11	220	21	320	94	326	25
MDOA007914	38	47	120	96	114	49	261	40	261	310
MDOA004282	26	311	25	51	27	23	68	98	484	224
MDOA011101	128	395	255	158	142	76	70	28	57	32
MDOA005339	51	198	27	36	33	47	19	13	891	29
MDOA008055	3	11	39	32	97	40	56	125	428	513
MDOA002581	66	2	131	6	183	614	89	11	246	2
MDOA004410	51	18	74	4	87	17	116	10	951	23
MDOA014401	268	171	59	36	58	29	97	164	254	215
MDOA013332	12	55	37	67	44	69	115	223	404	327
MDOA014265	10	32	22	29	102	30	148	74	790	121
MDOA005289	3	154	40	129	112	74	170	182	380	119
MDOA007738	9	245	16	103	24	202	47	402	50	266
MDOA006950	16	101	130	50	226	162	132	366	73	109
MDOA015261	54	174	235	166	169	79	205	70	166	47
MDOA005029	94	127	287	84	150	93	170	47	261	56
MDOA008937	10	31	247	186	171	86	130	37	371	103
MDOA009733	15	24	69	40	34	18	45	74	926	128
MDOA009330	6	29	11	20	82	21	332	75	764	46
MDOA005253	91	76	12	35	227	25	446	58	337	85
MDOA012678	121	179	199	269	105	126	132	140	85	37
MDOA013281	122	203	213	60	139	29	227	146	233	22
MDOA004704	49	25	321	34	337	19	313	24	250	23
MDOA011114	294	516	22	80	40	34	116	57	157	84
MDOA007320	47	129	313	108	274	150	248	85	38	9
MDOA007426	29	123	93	102	182	161	206	259	121	128
MDOA015755	28	28	313	29	246	66	587	21	81	9
MDOA012439	13	26	59	23	222	17	995	38	10	7
MDOA006220	36	127	168	166	137	249	138	194	90	109
MDOA009449	138	103	294	32	54	16	45	8	711	13
MDOA006953	135	135	330	125	98	58	142	16	305	71
MDOA005307	2	6	16	3	5	3	6	10	705	660
MDOA014961	61	70	212	31	176	34	263	32	486	57
MDOA009664	231	346	357	67	143	38	207	28	5	2
MDOA003008	91	145	317	71	243	46	306	29	174	12
MDOA011081	69	348	109	132	35	40	51	166	389	97
MDOA005045	30	191	93	252	55	332	101	231	29	123
MDOA004017	122	86	107	20	194	29	389	46	354	95
MDOA000309	26	341	11	89	140	136	92	243	196	172
MDOA000265	5	109	302	32	238	155	377	34	169	29
MDOA012851	170	189	297	156	181	82	195	96	70	16
MDOA006006	16	28	36	20	204	168	250	313	257	161
MDOA009882	29	72	29	23	264	43	309	161	410	113
MDOA014997	12	25	34	19	204	90	242	533	74	229
MDOA000276	201	323	138	141	63	46	45	65	381	60
MDOA011572	25	61	60	16	115	34	126	35	793	206
MDOA007075	55	247	260	207	235	163	227	36	24	18
MDOA012052	12	55	173	54	85	82	62	23	790	136
MDOA001012	17	24	246	102	79	60	73	59	519	295
MDOA011953	41	227	144	209	113	207	166	195	66	107
MDOA006039	120	193	187	131	236	87	388	57	66	11
MDOA005398	5	3	105	55	263	46	219	106	433	243
MDOA011079	19	20	12	35	344	216	382	163	144	143
MDOA014894	8	4	81	9	202	62	176	39	815	83
MDOA013077	12	55	19	57	79	41	71	32	651	467
MDOA002786	180	133	301	73	378	118	247	30	19	11
MDOA014642	165	182	444	93	163	128	216	40	33	28
MDOA012606	308	99	96	212	95	75	101	189	76	247
MDOA010252	27	316	177	199	115	126	72	63	337	70
MDOA000509	40	71	157	94	160	119	157	179	203	323
MDOA000746	394	841	62	85	15	11	17	19	48	13
MDOA006414	42	88	187	96	147	102	258	328	145	112
MDOA004517	84	115	214	68	347	67	438	28	121	28
MDOA014923	11	10	197	182	156	16	42	16	676	206
MDOA001366	24	39	333	28	408	55	365	19	238	5
MDOA001867	8	211	186	174	170	134	135	134	264	98
MDOA003085	225	239	55	8	50	29	169	21	695	27
MDOA003775	2	5	184	75	198	571	209	112	119	49
MDOA015240	136	173	256	36	245	38	179	40	395	27
MDOA015773	122	177	299	33	71	84	395	136	155	62
MDOA004790	9	109	33	426	125	313	100	213	137	74
MDOA004083	111	260	321	239	137	147	76	99	121	33
MDOA009432	120	129	323	15	284	89	480	35	27	45
MDOA013350	195	114	183	314	148	74	142	102	164	112
MDOA012822	20	375	9	523	6	96	192	180	123	27
MDOA007756	110	339	173	137	195	50	243	133	155	17
MDOA013453	5	57	10	74	17	33	38	187	725	409
MDOA009803	134	174	242	55	158	86	192	60	298	157
MDOA013987	21	31	49	33	201	104	241	472	113	297
MDOA005393	129	253	253	284	89	111	229	35	100	80
MDOA008230	52	229	261	121	222	191	180	109	139	63
MDOA002677	88	82	105	28	157	34	233	44	734	66
MDOA007726	28	20	71	8	60	9	59	2	1264	60
MDOA012456	18	56	254	24	267	141	245	32	507	37
MDOA014712	36	697	96	243	104	110	138	100	32	27
MDOA003181	41	180	306	155	214	233	200	77	158	22
MDOA003725	252	119	406	49	119	36	165	13	414	18
MDOA007079	22	50	71	66	122	46	83	59	547	525
MDOA005460	19	84	318	79	356	88	373	53	206	16
MDOA005217	33	8	59	16	372	78	367	357	257	47
MDOA012544	86	80	111	44	42	14	38	13	1092	79
MDOA009108	18	3	127	21	281	87	208	129	595	134
MDOA007025	17	250	127	227	159	249	151	274	40	111
MDOA000555	106	112	138	4	377	13	458	31	352	16
MDOA013257	34	55	29	14	20	8	4	6	1146	291
MDOA013518	53	200	229	259	145	185	166	217	90	66
MDOA000633	45	173	121	250	185	309	193	291	26	22
MDOA005039	300	227	103	11	39	19	34	16	796	77
MDOA015570	46	217	19	49	7	3	15	5	1193	77
MDOA012810	5	8	22	4	31	15	45	39	1331	137
MDOA007072	59	97	276	111	446	62	303	59	180	45
