GeneID	SB1	SB2	CB1	CB2	G1	G2	GBE1	GBE2	DC1	DC2
MDOA006494	1304	3698	11615	3160	12981	5847	11383	5634	3126	2043
MDOA014294	1517	4290	11742	6137	10940	4265	8657	3499	6158	3615
MDOA009394	2224	8668	12557	7739	9133	7599	8826	1698	1714	676
MDOA005792	2037	8919	1034	1037	4279	4956	6497	21288	2995	7799
MDOA009415	2156	4095	16369	5483	8429	5716	9217	3593	3645	2178
MDOA009677	3135	6790	13423	8697	7467	6932	8035	2953	2196	1257
MDOA014495	52	110	218	132	408	134	825	1385	53735	3886
MDOA009521	4931	15859	16551	10552	2972	2410	2153	774	4013	758
MDOA004710	3831	4882	15436	5224	11293	3223	10510	1529	4345	724
MDOA003049	1729	3241	6883	5619	6286	6556	6246	10173	5631	8752
MDOA002717	3410	19739	11983	7937	5150	4682	3782	1287	2661	613
MDOA002956	1177	6930	5308	9022	5945	8738	5940	8504	4663	5028
MDOA002795	2992	8752	11640	12244	5798	6206	5330	2646	3263	2411
MDOA001731	2071	3751	15656	5159	9567	4971	6097	2100	9744	2205
MDOA015132	3	3	7352	1390	17119	4369	19500	2054	8818	738
MDOA006204	1511	5376	10043	8451	8957	7222	7887	6171	2325	3443
MDOA007487	3579	4822	13978	3511	10111	3645	9695	2227	8304	1524
MDOA000771	6474	11952	6810	4434	6357	4132	9268	3092	6866	2030
MDOA002374	9499	22498	2904	7088	3227	1803	4514	4364	3341	2226
MDOA008694	2659	8494	16900	7039	7383	6551	7702	2335	1596	840
MDOA009563	1500	3754	11461	3170	11127	3883	12669	3501	8306	2160
MDOA013247	1349	3103	12461	5416	10961	5105	12321	3877	5210	1732
MDOA009960	3966	4953	9749	6843	6757	7412	4659	4747	8249	4204
MDOA001381	25209	7759	10943	3621	3433	1067	3471	762	4937	366
MDOA010483	1510	2863	11051	4320	10408	4371	9292	4876	9038	3850
MDOA005441	666	6015	3917	11376	2679	11692	2966	15658	1052	5681
MDOA014230	2003	8159	5124	9960	6128	11348	5318	12246	207	1235
MDOA001286	2220	3113	7916	5385	7561	6033	16394	6977	2684	3465
MDOA014485	2080	3698	11853	3743	11284	4902	9625	2567	10547	1484
MDOA003611	1742	3004	12061	2826	14473	4064	13982	2182	6558	898
MDOA011144	2079	5163	9658	3698	9902	4748	10321	3772	10266	2323
MDOA003727	1906	4536	13284	6330	9854	6958	8668	6338	2190	1883
MDOA011411	1076	5661	9147	6221	8891	7898	9503	4864	4944	3758
MDOA002470	1497	3250	14929	2842	12392	3854	10798	2191	8710	1551
MDOA006210	4	8	1992	840	2050	1940	3015	3258	36695	12272
MDOA004942	1109	7043	7335	8515	6494	8496	5595	8333	3808	5442
MDOA001513	4426	9923	8424	6514	6565	4240	9241	4832	5136	2928
MDOA013299	1555	8375	7259	9493	5592	9596	4496	4600	6544	4733
MDOA010923	3089	5808	8539	4583	10298	4418	8300	5047	8331	3877
MDOA014215	1754	3191	10713	3990	10601	3615	12040	4466	9254	2685
MDOA004398	2451	6874	13241	8640	10391	5792	9432	3111	1686	699
MDOA009892	4809	15879	7352	4789	9760	4910	9671	3440	1111	641
MDOA014605	1668	3806	13049	3473	12746	4701	9869	2351	8985	1734
MDOA007171	2249	7102	13474	8045	9915	6888	8284	4426	1065	947
MDOA000855	756	3416	780	655	1208	898	1460	2559	33509	17179
MDOA011108	3621	5787	8097	7492	6975	6341	6565	6094	6472	5022
MDOA004084	2050	7358	16199	9046	9208	6731	7691	3633	209	367
MDOA008290	1924	3915	11184	3931	11381	3728	9901	4625	8339	3578
MDOA010989	4110	8212	18703	5829	9168	3898	8423	1853	1884	442
MDOA014994	1583	4718	10916	8459	8124	7416	6503	4565	6438	3805
MDOA002188	1709	2802	9401	3721	8268	2152	8733	2513	20750	2479
MDOA001654	1446	5952	6671	7353	6701	8149	6086	9668	3878	6626
MDOA004705	2703	4302	12144	3738	6573	3191	8339	3520	12729	5417
MDOA009929	2015	4788	11509	6319	10536	5865	10188	2888	7300	1324
MDOA014435	3127	10278	6844	7066	6071	5169	7664	8512	4340	3675
MDOA014672	1614	3977	2183	3731	1978	1424	4978	10641	21057	11200
MDOA009883	3827	6734	19735	7116	7831	3399	7697	2386	2813	1277
MDOA014279	1478	3156	9469	3468	12999	3906	12859	3981	9584	1930
MDOA007342	1241	2878	16660	3902	13589	6416	11615	2919	2631	987
MDOA002532	1890	4890	7935	3595	7662	4720	7323	9540	8970	6340
MDOA009121	1742	6182	10472	6795	9793	6060	11638	5866	2429	1890
MDOA006246	2963	6452	14444	4198	11614	5887	8409	2861	4604	1510
MDOA009931	4570	10823	9765	10838	4531	4009	3844	2847	6664	5068
MDOA003865	1135	4482	6100	6175	7572	6416	6522	8407	7285	8883
MDOA012172	4767	7359	9929	3593	7699	3007	8785	5728	9044	3097
MDOA000897	1458	3588	5435	3449	6814	3091	7005	8541	13748	9895
MDOA015013	2760	19469	11904	12311	4792	3876	3739	2934	699	770
MDOA002300	1203	3260	9941	3741	13344	4918	15793	4464	5366	1227
MDOA012020	1860	4747	8382	5292	5575	3965	5329	2683	20618	4806
MDOA002854	1183	6450	11329	8386	9035	7639	9184	4541	2779	2759
MDOA014148	3535	9606	10340	8395	7843	5230	8009	4460	3752	2124
MDOA005600	2055	5177	10840	6510	7935	4203	7917	2567	10763	5342
MDOA001805	3689	10540	12456	8233	5355	2229	6356	2160	11050	1299
MDOA006646	1703	4798	9465	4098	10068	7180	11901	7746	3484	2925
MDOA011940	9502	21276	13245	4911	4977	1449	4693	936	1928	456
MDOA013719	5	6	18061	2449	10591	3462	11629	2983	10471	3718
MDOA015537	1205	4499	5821	5782	6305	8032	6335	9499	6750	9155
MDOA001800	4	16	4485	983	11263	6421	13571	6752	16172	3721
MDOA012898	2352	5728	16409	8979	11537	7706	6887	2376	885	636
MDOA005932	2141	3880	14113	5369	11741	7372	9084	4890	2523	2391
MDOA005242	2067	4172	10446	3367	9843	3080	10769	2164	14858	2807
MDOA014500	1472	3606	13422	4701	13594	5322	12960	3801	3409	1399
MDOA014884	2206	3473	16160	4517	14374	5860	12061	2576	1902	606
MDOA008812	1544	937	17597	529	16484	1371	18635	919	5558	162
MDOA009123	2110	4497	8141	6851	13328	5473	13593	6189	745	2820
MDOA000530	848	4853	10099	5129	10887	6972	6883	3734	10063	4400
MDOA007755	1282	6074	4252	9421	5003	5607	5253	13178	5205	8616
MDOA007279	2326	8303	11897	9360	7708	5582	6196	4205	4948	3382
MDOA002760	1725	4365	11219	6033	10789	7112	10646	6936	2940	2168
MDOA005121	1540	5588	11887	5728	12811	6036	11133	3549	4461	1253
MDOA005376	2544	5085	10962	7490	9620	8341	10533	7799	510	1119
MDOA013655	1521	4891	7883	7582	6531	8091	6271	7268	6908	7060
MDOA013471	2928	2390	20210	4265	11281	2548	9218	1267	8788	1138
MDOA014817	1328	8221	8755	9683	6922	9475	6198	8179	2490	2786
MDOA011142	2230	2355	18410	2141	15062	2461	11092	677	9212	412
MDOA005648	3921	9561	7190	8091	5228	1727	6462	3807	14228	3850
MDOA004955	1936	5606	7722	4532	2380	1582	2433	702	33775	3404
MDOA006375	2794	4099	15223	5270	11659	5400	10920	4888	1513	2322
MDOA001073	916	1932	19699	6360	13669	7288	9259	3928	613	425
MDOA003592	3613	15925	8016	18337	2129	5063	2366	3641	1909	3091
MDOA014091	2763	4660	11379	5294	9818	6996	10710	6274	3626	2595
MDOA001686	3436	6773	17822	7397	10113	4560	10087	2481	941	537
MDOA000719	3309	10404	13531	10561	6174	8122	6305	2629	2147	1111
MDOA000076	1911	5691	9225	7062	7195	7009	7429	9278	4306	5225
MDOA000157	13	60	158	201	115	194	425	1319	48960	12925
MDOA003754	1435	6620	10482	7687	9732	8040	7424	6007	3549	3398
MDOA013389	553	1038	3014	1197	3031	1249	2845	1123	41340	8999
MDOA000124	2033	4636	16376	4592	12441	5019	11687	2110	4651	866
MDOA013993	2966	13620	11135	6687	6941	3360	8899	2533	6826	1518
MDOA003881	720	2229	9921	7242	10915	3305	14602	6833	5314	3423
MDOA000337	6341	7979	18206	7635	8590	3468	7413	2719	1510	691
MDOA010262	3406	6597	16244	5967	6928	4312	4529	3934	8226	4442
MDOA015539	1425	5890	11078	6179	10386	9639	8212	8491	1176	2112
MDOA007433	1607	8887	8658	9585	6494	7616	6686	9066	2282	3747
MDOA003126	3468	10137	9817	10015	5633	5971	5678	5738	4841	3407
MDOA004393	2056	7083	9077	8455	6185	5725	9568	10028	2958	3573
MDOA006079	1567	3779	8903	5067	9832	6117	9440	9175	5501	5335
MDOA007403	2041	5827	6941	5394	5647	3801	4575	4810	16357	9364
MDOA014296	1751	9399	8395	11205	6074	9691	5941	6309	2232	3823
MDOA002830	6153	12752	14408	5425	4107	3889	6424	1346	7756	2598
MDOA004985	1048	5439	9868	5569	10613	7254	8792	8220	5165	2953
MDOA003002	2417	14548	5670	8143	4500	2593	4136	5848	10087	7029
MDOA000997	3030	10565	11564	11208	4832	3721	5643	3475	7503	3451
MDOA015352	2245	4326	10784	5662	11386	6573	12649	5043	3731	2610
MDOA005981	3191	8414	9738	6409	10709	7689	8172	8679	739	1284
MDOA008215	2008	6501	12141	4786	5452	3044	5874	2538	17401	5288
MDOA006888	2131	2419	19263	1627	17228	2482	16380	1519	1641	369
MDOA009261	2518	7037	9926	7234	7897	4666	11657	4849	6602	2696
MDOA011107	79	187	9509	2504	12395	2236	15628	1969	18478	2177
MDOA001771	1117	3262	10143	4061	10262	5563	11540	5057	9553	4672
MDOA002161	1952	4124	15344	6337	12568	4702	8060	4172	5174	2807
MDOA007802	1829	3301	10715	5328	12138	7267	12620	3811	7376	901
MDOA013583	1893	3395	12579	4025	12370	4029	13477	2805	8756	2001
MDOA001879	1040	7933	9160	9661	7570	10833	7750	6481	2225	2684
MDOA007835	265	575	2248	239	18119	1711	22236	1599	17866	607
MDOA003292	1066	4491	7912	7217	7439	8545	7254	8043	7337	6211
MDOA010915	2083	4670	10501	6623	11913	7743	9950	5370	4337	2344
MDOA015141	2659	5427	8886	4883	9197	7100	10239	6807	7240	3125
MDOA002977	2003	4878	10431	4528	10501	6153	13094	5495	5697	2790
MDOA006807	2659	6337	11476	9216	8684	6291	9864	4623	4070	2367
MDOA001600	1893	4802	13490	5219	10076	6446	9550	3905	7622	2684
MDOA007322	1066	3882	9744	4850	10443	4701	10802	5977	10130	4120
MDOA000208	2200	2676	11487	4816	10755	4256	10819	4952	9574	4272
MDOA000691	2644	4154	13990	3554	12427	4569	11738	2055	9391	1298
MDOA009687	1165	5862	11950	6481	10126	8489	11658	7301	1122	1677
MDOA009186	2241	4190	5920	6422	7765	5119	10040	12700	2380	9101
MDOA001111	2111	6166	9430	9626	6432	6856	6949	8254	3514	6580
MDOA005461	2568	6338	8652	4608	12471	3685	18446	6522	1684	1009
MDOA004436	1747	3292	10143	4915	11446	5783	13300	6537	5891	2954
MDOA015360	2701	11116	11239	9817	8124	6778	6513	2588	4240	2911
MDOA011288	1494	3736	9094	6556	8393	7833	8349	7379	8519	4728
MDOA010949	3361	7535	15155	6041	11637	5546	13596	2706	380	203
MDOA005455	9449	37612	7209	8113	1209	970	886	565	45	122
MDOA008050	748	2833	4647	4039	14544	5100	22709	5868	2578	3294
MDOA005619	1665	5168	12469	6320	13198	8626	10318	6476	1222	904
MDOA008433	1929	3361	13445	5039	10707	5484	9150	3627	10449	3252
MDOA000077	1571	4694	8680	4674	11501	9252	11712	7560	4255	2546
